Age,Gender,Education Level,Job Title,Years of Experience,Salary,Remote Work Status,Industry,Company Size,City or Region
32.0,Male,Bachelor's,Software Engineer,5.0,90000.0,On-site,Technology,Small,Hyderabad
28.0,Female,Master's,Data Analyst,3.0,65000.0,Remote,Manufacturing,Small,Pune
45.0,Male,PhD,Senior Manager,15.0,150000.0,On-site,Retail,Medium,Kolkata
36.0,Female,Bachelor's,Sales Associate,7.0,60000.0,Remote,Healthcare,Small,Hyderabad
52.0,Male,Master's,Director,20.0,200000.0,On-site,Technology,Large,Kolkata
29.0,Male,Bachelor's,Marketing Analyst,2.0,55000.0,Remote,Healthcare,Small,Kolkata
42.0,Female,Master's,Product Manager,12.0,120000.0,Remote,Education,Medium,Chennai
31.0,Male,Bachelor's,Sales Manager,4.0,80000.0,Hybrid,Technology,Medium,Delhi
26.0,Female,Bachelor's,Marketing Coordinator,1.0,45000.0,On-site,Technology,Medium,Mumbai
38.0,Male,PhD,Senior Scientist,10.0,110000.0,On-site,Consulting,Large,Pune
29.0,Male,Master's,Software Developer,3.0,75000.0,Hybrid,Healthcare,Large,Pune
48.0,Female,Bachelor's,HR Manager,18.0,140000.0,On-site,Manufacturing,Large,Kolkata
35.0,Male,Bachelor's,Financial Analyst,6.0,65000.0,Hybrid,Retail,Small,Mumbai
40.0,Female,Master's,Project Manager,14.0,130000.0,On-site,Retail,Large,Mumbai
27.0,Male,Bachelor's,Customer Service Rep,2.0,40000.0,On-site,Manufacturing,Large,Delhi
44.0,Male,Bachelor's,Operations Manager,16.0,125000.0,Hybrid,Technology,Medium,Delhi
33.0,Female,Master's,Marketing Manager,7.0,90000.0,Hybrid,Education,Small,Kolkata
39.0,Male,PhD,Senior Engineer,12.0,115000.0,On-site,Finance,Small,Kolkata
25.0,Female,Bachelor's,Data Entry Clerk,0.0,35000.0,Hybrid,Consulting,Small,Delhi
51.0,Male,Bachelor's,Sales Director,22.0,180000.0,On-site,Education,Medium,Bangalore
34.0,Female,Master's,Business Analyst,5.0,80000.0,Remote,Manufacturing,Small,Hyderabad
